"BehaviorSpace results (NetLogo 6.2.0)"
"lab2_5.nlogo"
"experiment"
"04/16/2021 13:50:39:315 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","%-similar-wanted","[step]","percent-similar"
"2","1","0","49.69175859831279"
"1","1","0","51.555627952435245"
"3","1","0","50.46243712477689"
"1","1","1","52.681899205963376"
"4","1","0","49.48253557567917"
"2","1","1","50.86415764819899"
"1","1","2","52.681899205963376"
"2","1","2","51.00129198966409"
"3","1","1","52.19709208400646"
"4","1","1","50.30605670103093"
"1","1","3","52.73051369308054"
"2","1","3","51.1785598966742"
"3","1","2","52.237118397674045"
"3","1","3","52.34942677216212"
"6","1","0","50.43040441773591"
"6","1","1","52.54920942239431"
"5","1","0","49.536359199609564"
"8","1","0","49.683287315250936"
"7","1","0","50"
"5","1","1","50.775945683802135"
"8","1","1","51.01744186046512"
"7","1","1","51.06348694811472"
"5","1","2","50.85649644473173"
"6","1","2","52.667203867848514"
"8","1","2","51.144792002579806"
"7","1","2","51.09500805152979"
"8","1","3","51.20850789558492"
"9","1","0","50.713359273670555"
"7","1","3","51.17476665593821"
"9","1","1","51.970920840064615"
"11","1","0","50.48100440241318"
"12","1","0","50.66129032258064"
"10","1","0","51.07972073388537"
"9","1","2","52.26244343891403"
"11","1","1","51.51023059434882"
"12","1","1","51.74567584881486"
"10","1","1","52.78180938558297"
"11","1","2","51.590909090909086"
"10","1","2","53.03787268331991"
"13","1","0","50.05669852583833"
"12","1","2","51.85659411011524"
"13","1","1","51.2911555842479"
"14","1","0","50.86695835358937"
"15","1","0","51.517597675169526"
"16","1","0","50.99821457555591"
"13","1","2","51.346991450233915"
"14","1","1","52.406330749354005"
"16","1","1","52.826510721247566"
"15","1","1","52.67900241351568"
"14","1","2","52.5661717236927"
"17","1","0","50.154396229481556"
"16","1","2","53.11486048020766"
"15","1","2","53.05005633349429"
"14","1","3","52.5661717236927"
"17","1","1","52.15559157212317"
"16","1","3","53.204608145383744"
"14","1","4","52.63752218099693"
"17","1","2","52.276778479987044"
"18","1","0","50.13805424719832"
"15","1","3","53.055644901897715"
"19","1","0","48.99690099494373"
"20","1","0","50.0406570174012"
"21","5","0","49.877750611246945"
"18","1","1","51.677419354838705"
"19","1","1","50.40479274611399"
"20","1","1","51.63589245221898"
"21","5","1","51.17446946379394"
"19","1","2","50.63926201650752"
