"BehaviorSpace results (NetLogo 6.1.1)"
"lab2_5_ex_a.nlogo"
"experiment"
"04/23/2020 12:46:07:450 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","%-similar-wanted","[step]","percent-similar"
"3","20","0","49.211087420042645"
"1","20","0","51.09851169383416"
"4","20","0","50.413223140495866"
"3","20","1","53.87238880204632"
"1","20","1","55.01695873374788"
"1","20","2","56.50458069062721"
"3","20","2","55.538243626062325"
"4","20","1","55.04339166310997"
"1","20","3","56.75066873152189"
"3","20","3","56.237623762376245"
"1","20","4","56.90553287343376"
"2","20","0","49.24630261660978"
"4","20","2","56.76020408163265"
"3","20","4","56.430186546071226"
"1","20","5","57.07447557370126"
"3","20","5","56.61203729867195"
"4","20","3","57.65906192433046"
"2","20","1","53.65335598980459"
"3","20","6","56.72696438665913"
"4","20","4","57.99093227543214"
"5","20","0","49.92897727272727"
"3","20","7","56.79151943462898"
"2","20","2","55.022637238256934"
"4","20","5","58.0476055539813"
"2","20","3","55.79126007636827"
"4","20","6","58.12438022382774"
"5","20","1","55.11677282377919"
"2","20","4","56.199632404920116"
"4","20","7","58.14678379144234"
"6","20","0","50.455062571103525"
"2","20","5","56.39937774006506"
"4","20","8","58.333333333333336"
"5","20","2","56.28268551236749"
"4","20","9","58.333333333333336"
"7","20","0","49.26136363636363"
"5","20","3","56.47375123814914"
"6","20","1","55.105233219567694"
"5","20","4","56.76096181046676"
"4","20","10","58.41598186455086"
"6","20","2","57.116451016635864"
"5","20","5","56.98331919705966"
"6","20","3","57.94405792985944"
"7","20","1","53.795941535405134"
"5","20","6","57.011721508261544"
"8","20","0","50.098925946862636"
"6","20","4","58.17949446180063"
"6","20","5","58.245813227363044"
"9","20","0","49.61031599829956"
"8","20","1","53.829817358063146"
"7","20","2","54.750106187172584"
"8","20","2","55.121331828442436"
"7","20","3","55.30077848549186"
"6","20","6","58.32269050659855"
"7","20","4","55.415545802067115"
"8","20","3","55.69513055751588"
"10","20","0","49.75145575912512"
"7","20","5","55.51465382981736"
"9","20","1","53.94137734775185"
"10","20","1","54.18796138557638"
"9","20","2","55.12056737588652"
"7","20","6","55.601189633196434"
"8","20","4","55.88276736649288"
"10","20","2","55.3872292227099"
"9","20","3","55.5587067498582"
"8","20","5","56.06936416184971"
"10","20","3","56.173888416879066"
"9","20","4","55.77903682719547"
"8","20","6","56.089653228080074"
"9","20","5","55.83404134806004"
"7","20","7","55.6137618575676"
"11","20","0","50.19184311496376"
"9","20","6","55.86070215175538"
"12","20","0","48.20768136557611"
"10","20","4","56.40662607956959"
"11","20","1","55.612462654716175"
"12","20","1","52.63904653802497"
"13","20","0","51.076792292434114"
"10","20","5","56.53835267478063"
"11","20","2","57.2785258681786"
"13","20","1","55.54926387315968"
"12","20","2","54.159592529711375"
"14","20","0","49.9001996007984"
"11","20","3","57.73590252196089"
"13","20","2","56.77200902934537"
"11","20","4","57.94472005669738"
"13","20","3","57.245661069563994"
"11","20","5","58.080521689821374"
"14","20","1","54.8194483935172"
"14","20","2","56.562367266034265"
"11","20","6","58.118447152167754"
"13","20","4","57.4212681824601"
"12","20","3","54.86562942008486"
"11","20","7","58.17512043071692"
"14","20","3","57.34690991373215"
"12","20","4","54.96323529411765"
"13","20","5","57.4353904815704"
"12","20","5","55.11588468061051"
"13","20","6","57.445606103419045"
"14","20","4","57.42728042925728"
"13","20","7","57.49999999999999"
"12","20","6","55.10809665112336"
"14","20","5","57.6711362032463"
"12","20","7","55.17874805708634"
"14","20","6","57.71347918136909"
"15","20","0","50.44712562100781"
"16","25","0","49.60170697012802"
"12","20","8","55.22113890066412"
"14","20","7","57.70533446232007"
"14","20","8","57.715657207397996"
"16","25","1","55.89278116579208"
"14","20","9","57.767743756173275"
"15","20","1","55.27588168373151"
"16","25","2","58.33685694150811"
"17","25","0","51.09406081273089"
"15","20","2","57.258293166997454"
"16","25","3","59.38907657657657"
"15","20","3","57.92535830850007"
"18","25","0","49.60283687943263"
"16","25","4","59.760900140646974"
"15","20","4","58.230365004970885"
"17","25","1","56.63026521060842"
"18","25","1","55.04106485414897"
"16","25","5","59.92409333708181"
"16","25","6","59.95783555867885"
"18","25","2","57.201413427561846"
"17","25","2","59.433828733191795"
"16","25","7","59.9522069159404"
"18","25","3","58.289826442782555"
"15","20","5","58.34990059642146"
"17","25","3","59.93223210504024"
"16","25","8","59.94940978077572"
"18","25","4","58.83763577373395"
"17","25","4","60.20321761219306"
"18","25","5","59.097956307258634"
"15","20","6","58.384211273605004"
"16","25","9","59.9522069159404"
"18","25","6","59.07553551296505"
"16","25","10","59.963462619449125"
"17","25","5","60.347261434217955"
"18","25","7","59.13766380160631"
"17","25","6","60.41490262489416"
"20","25","0","50.56195760421113"
"19","25","0","49.9360341151386"
"22","25","0","50.538548752834465"
"20","25","1","56.181843931454466"
"21","25","0","49.85795454545455"
"20","25","2","58.788815512154"
"19","25","1","55.60084328882642"
"21","25","1","54.000565450947136"
"22","25","1","55.70782706979372"
"19","25","2","57.73441886580572"
"20","25","3","59.78947368421053"
"21","25","2","55.99493385871095"
"22","25","2","58.04857384919514"
"19","25","3","59.11578947368421"
"21","25","3","56.879572312886886"
"20","25","4","59.82630620535089"
"19","25","4","59.37456177254242"
"20","25","5","60.10086859064163"
"21","25","4","57.34383792909398"
"22","25","3","58.76970720720721"
"19","25","5","59.868328897604705"
"20","25","6","60.12879742405152"
"21","25","5","57.5228712174525"
"22","25","4","59.18884664131813"
"20","25","7","60.19607843137255"
"19","25","6","59.97759417448537"
"21","25","6","57.58087201125176"
"22","25","5","59.272829763246904"
"19","25","7","60.03641966661998"
"21","25","7","57.58087201125176"
"23","25","0","50.106700810926164"
"22","25","6","59.46745562130178"
"21","25","8","57.60090001406272"
"24","25","0","49.53894169385728"
"26","25","0","50.00709320470988"
"25","25","0","48.830242510699"
"24","25","1","55.761345963523254"
"23","25","1","54.96333897349126"
"24","25","2","57.49648382559776"
"23","25","2","56.96238068500842"
"26","25","1","55.2341986455982"
"25","25","1","54.80673934588701"
"24","25","3","58.34153197470133"
"26","25","2","57.00605548514294"
"23","25","3","57.61737911702873"
"24","25","4","58.86067068892943"
"26","25","3","57.59280089988752"
"25","25","2","57.40871281545186"
"23","25","4","58.11415780637941"
"24","25","5","59.09856781802865"
"26","25","4","58.02330478730872"
